id,train_id,delay
ACND,13009,270
ACND,13010,212
ACND,13151,75
ACND,13152,151
ACND,13307,69
ACND,13308,252
ACND,13483,131
ACND,13484,135
AHA,12253,79
AHA,12254,10
AHA,12335,14
AHA,12336,24
AHA,12349,24
AHA,12350,422
AHA,12367,4
AHA,12368,101
AHA,13023,23
AHA,13024,8
AHA,13119,27
AHA,13120,80
AHA,13133,28
AHA,13134,6
AHA,13235,21
AHA,13236,2
AHA,13241,27
AHA,13242,3
AHA,13401,11
AHA,13402,5
AHA,13413,17
AHA,13414,90
AHA,13415,33
AHA,13416,4
AHA,13419,7
AHA,13420,2
AHA,13423,51
AHA,13424,83
AHA,13429,15
AHA,13430,467
AHA,13483,22
AHA,13484,203
AHA,14003,19
AHA,14004,278
AHA,14055,17
AHA,14056,317
AHA,15097,27
AHA,15098,362
AHA,15619,108
AHA,15620,334
AHA,15647,115
AHA,15648,17
AHA,22405,304
AHA,22406,297
AHA,22947,70
AHA,22948,21
ABS,12455,25
ABS,12456,10
ABS,12481,17
ABS,12482,5
ABS,12485,65
ABS,12486,10
ABS,13007,248
ABS,13008,0
ABS,14525,1
ABS,14526,9
ABS,14601,0
ABS,14602,1
ABS,14711,44
ABS,14712,5
ABS,14713,10
ABS,14714,12
ABR,11089,10
ABR,11090,22
ABR,12215,0
ABR,12216,25
ABR,12479,6
ABR,12480,25
ABR,12547,12
ABR,12548,18
ABR,12915,21
ABR,12916,0
ABR,12957,19
ABR,12958,13
ABR,12989,23
ABR,12990,10
ABR,14311,92
ABR,14312,15
ABR,14321,74
ABR,14322,18
ABR,14707,38
ABR,14708,20
ABR,15269,208
ABR,15270,18
ABR,16209,16
ABR,16210,35
ABR,16311,5
ABR,16312,33
ABR,16507,10
ABR,16508,31
